Title,Artist,BPM,Energy,Key
"Recomposed By Max Richter: Vivaldi, The Four Seasons: Spring 1 - Levitation Mix",Max Richter,110,29,12A
Moldau,Christian Löffler,110,21,3A
Merry-Go-Round of Life - from 'Howl’s Moving Castle',Joe Hisaishi,178,20,7A
Asian Dream Song,Joe Hisaishi,92,27,4B
There Will Be Hope,Hania Rani,99,21,7A
Shéhérazade - Laura Masotto Rework,Laura Masotto,104,50,9B
Loom - Sunrise Session II,Ólafur Arnalds,103,11,5A
Mother’s Broom - from 'Kiki's Delivery Service',Joe Hisaishi,80,20,8B
"Raiders March - From ""Indiana Jones and the Raiders of the Lost Ark""",Berliner Philharmoniker,119,32,8B
You Come Here Often?,Yuja Wang,104,28,7B
"French Suite No. 5 in G Major, BWV 816: VII. Gigue",Bruce Liu,132,22,9B
"Air russe varié for Violoncello and String Quartet, Op. 32: III. Allegro moderato",Camille Thomas,100,11,7A
La ronde des Lutins,Christian Li,98,46,9B
In Bloom,Redi Hasa,150,25,10B
"Orange Sky - From ""Boundless"" Soundtrack",Peter Gregson,180,22,12B
Porcelain - Reprise Version,Moby,92,25,10A
White Flowers Take Their Bath,Mari Samuelsen,126,17,9A
"Symphonie Concertante for Violin, Harp and Orchestra in G Major, WoO 13: II. Adagio",María Dueñas,93,7,12B
"Suite No. 5 in E Major, HWV 430: IV. Air & 5 Variations ""The Harmonious Blacksmith""",Seong-Jin Cho,87,10,12B
"Carmen Fantasy, Op. 25: IV. Moderato",Hilary Hahn,135,32,8B
"Han Solo and the Princess - From ""Star Wars: The Empire Strikes Back""",Anne-Sophie Mutter,99,21,4B
"Cello Concerto in E Minor, Op. 85: II. Lento - Allegro molto",Sheku Kanneh-Mason,81,22,9B
"The Four Seasons, Autumn, Violin Concerto in F Major, RV 293, Op. 8 No. 3: I. Allegro",Janine Jansen,123,16,7B
Take Care of This House,Nadine Sierra,73,11,9A
"Violin Concerto in D Major, RV 211: III. Allegro",Nicola Benedetti,136,31,3B
"Zadok The Priest (Coronation Anthem No. 1, HWV 258)",Royal Choral Society,99,20,10B
Waltzing Matilda (Arr. Koncz),Ray Chen,131,24,10B
Rose in Abstract - Portico Quartet Remix,Balmorhea,111,24,6A
"Rey's Theme - From ""Star Wars: The Force Awakens""",Anne-Sophie Mutter,108,24,8A
Critical Spirit,Luke Howard,120,45,8B
hundred00,Lara Somogyi,140,22,6A
Loom,Ólafur Arnalds,157,18,4A
Biała flaga - Remastered 2021,Hania Rani,139,14,6A
"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in G Minor. Allegro (Orch. Schmeling)",Wiener Philharmoniker,78,20,5B
"Toccata & Fugue in D Minor, BWV 565: I. Toccata",Simon Preston,118,17,7A
"2 Impromptus, Op. 4: I. Espérance",María Dueñas,84,19,4B
"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",Wiener Philharmoniker,98,31,5A
"Symphony No. 9 in E Minor, Op. 95, B. 178 ""From the New World"": III. Scherzo. Molto vivace - Recorded 1985",Wiener Philharmoniker,129,5,9A
"Scythian Suite, Op. 20: II. The Enemy of God and the Dance of the Spirits",Chicago Symphony Orchestra,118,34,8B
"Also sprach Zarathustra, Op. 30: I. Prelude. Sonnenaufgang - Recorded 1973",Berliner Philharmoniker,80,30,7B
Ecco la primavera,Early Music Consort Of London,177,36,7A
"Passacaglia & Fugue in C Minor, BWV 582: I. Passacaglia",Karl Richter,132,18,12A
Trumpet Voluntary (Arr. for Brass Ensemble),The Michael Laird Brass Ensemble,105,20,10B
English Folk Song Suite: 1. March: Seventeen come Sunday,Academy of St. Martin in the Fields,119,27,4A
"Pomp and Circumstance March No. 1 in D Major, Op. 39 No. 1",London Philharmonic Orchestra,120,44,10B
"Divertimento in B-Flat Major, K. 196f: I. Allegro",Bläserphilharmonie Mozarteum Salzburg,175,38,6B
"Le nozze di Figaro, K. 492: Overture",Wiener Philharmoniker,143,23,10B
"Symphony No. 41 in C Major, K. 551 ""Jupiter"": IV. Finale. Molto allegro",Wiener Philharmoniker,129,40,8B
"Piano Quartet No. 1 in G Minor, K. 478: I. Allegro - Live at Carnegie Hall, New York, 2018",Evgeny Kissin,132,12,6B
"Keyboard Sonata No. 47 in B Minor, Hob. XVI:32: III. Finale. Presto - Live",Grigory Sokolov,175,25,10B
"Horn Concerto No. 4 in E-Flat Major, K. 495: 3. Rondo. Allegro vivace",Barry Tuckwell,89,19,6B
"Die Walküre, WWV 86B - Concert version / Dritter Aufzug: The Ride of the Valkyries",Wiener Philharmoniker,92,40,9B
Patina,Peter Gregson,74,17,8B
Home,ABBOTT,81,8,1B
Still / Sound – piano reworks,Sophie Hutchings,138,13,5B
We Could Stay,Josin,94,13,7B
Traveller - Lambert rework,Josin,74,12,3A
Falling Colour,Vanbur,144,30,10B
Mists Inhabit This Place,Brambles,56,28,1A
New Grass — piano reworks,tstewart,128,28,3B
Orphic Hymn,Theatre Of Voices,89,10,4B
lodges,Lara Somogyi,124,15,8B
Notturno,Víkingur Ólafsson,72,5,12B
Moon Window,Freya Arde,85,12,8A
Etudes: No. 6,Víkingur Ólafsson,109,19,4A
Close To Her,Benjamin Gustafsson,120,21,7B
Was am Ende,Alice Baldwin,123,4,3A
Komorebi,Sailor & I,104,7,10A
Violin Concerto No. 2 - The American Four Seasons: Movement IV,Gidon Kremer,161,27,8A
"Piano Concerto No. 20 in D Minor, K. 466: III. Rondo. Allegro assai (Cadenza Beethoven)",Hélène Grimaud,139,29,7A
Homecoming,Nicolas Economou,140,33,8A
Rolling,Roedelius,181,18,10B
Echorus,Daniel Hope,120,2,8B
Interruptions (Heart And Breath Nonet): VI French Guitars,yMusic,88,13,9A
A Soft Shell Groove,Alice Sara Ott,119,22,5A
Andante Loops,Max Richter,70,0,12B
Erupting Light,Hildur Guðnadóttir,128,24,7A
Parliament Of Owls,Agnes Obel,119,24,10A
Hanging D - Max Cooper Remix,Joep Beving,174,51,7A
Duet,Daniel Hope,140,16,7B
"Heptapod B - From ""Arrival"" Soundtrack",Jóhann Jóhannsson,126,45,3A
Lambent Rag,Clark,184,30,3B
Litany of Gathering Up,Nicholas Lens,130,19,7A
Dir Jehova,Christian Löffler,177,25,11A
Gnossienne No. 5 - French 79 Rework (FRAGMENTS / Erik Satie),French 79,117,56,9B
The Myth,Balmorhea,98,16,6A
Anim Zemirot - Pt. I,Jacob Mühlrad,89,19,3A
Sonneries de la Rose+Croix: I. Air de l'Ordre - Sascha Braemer 5pm Remix (FRAGMENTS / Erik Satie),Sascha Braemer,122,59,10B
Cluster - Edit,Peter Gregson,74,16,9A
Can't Be - Rone Remix,Agnes Obel,127,57,9B
Opus 28 - Silfur Version,Dustin O'Halloran,145,14,6B
Gnossienne No. 1 - Monolink Nostalgia Remix (FRAGMENTS / Erik Satie),Monolink,113,59,3B
Arrival,Felsmann + Tiley,120,39,10B