#,TITLE,ARTIST,Key,RELEASE,ADDED,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,A.SEP,RND
1,"When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",Mandy Moore,12B,2010-01-01,2026-07-03,108,42,67,-8,39,2:32,11,71,1,9718
2,That’s So True,Gracie Abrams,3B,2024-10-16,2026-07-03,109,82,55,-4,38,2:46,25,66,5,6089
3,Life is a Highway,Rascal Flatts,7B,2006-11-13,2026-07-03,103,95,58,-4,66,4:36,0,79,10,8663
4,Unwritten,Natasha Bedingfield,7B,2004-08-30,2026-07-03,100,80,71,-6,63,4:19,1,90,11,7609
5,Best Day Of My Life,American Authors,10B,2014-01-01,2026-07-03,100,90,67,-2,54,3:14,6,85,12,6441
6,Something Just Like This,The Chainsmokers,10B,2017-04-07,2026-07-03,103,64,62,-7,45,4:07,5,90,13,8730
7,Classic,MKTO,3B,2012,2026-07-03,102,79,72,-5,76,2:55,4,83,14,8453
8,"I See the Light - From ""Tangled"" / Soundtrack Version",Mandy Moore,5A,2010-01-01,2026-07-03,92,14,24,-14,17,3:44,83,74,33,832
9,Roar,Katy Perry,6B,2013-01-01,2026-07-03,90,77,67,-5,44,3:43,0,82,15,2392
10,Fireflies,Owl City,5B,2009-01-01,2026-07-03,180,66,51,-7,47,3:48,3,82,16,4071
11,Hymn for the Weekend,Coldplay,5A,2015-12-04,2026-07-03,90,69,49,-6,41,4:18,21,86,0,139
12,Heart Attack,Demi Lovato,4B,2013-01-01,2026-07-03,174,79,50,-5,50,3:30,7,85,18,8962
13,Umbrella,Rihanna,3B,2007-01-01,2026-07-03,174,83,59,-5,58,4:35,1,80,6,7550
14,Riptide,Vance Joy,3B,2014-08-05,2026-07-03,102,73,48,-7,48,3:24,44,91,19,9640
15,What Are You Waiting For,d4vd,3B,2025-04-25,2026-07-03,166,90,38,-4,46,2:24,0,65,20,6493
16,National Anthem,Lana Del Rey,5B,2012-11-12,2026-07-03,85,90,53,-6,44,3:50,53,64,7,1966
17,Better When I'm Dancin',Meghan Trainor,10B,2025-03-28,2026-07-03,128,82,76,-6,86,2:56,57,71,21,3176
18,Only Girl (In The World),Rihanna,10A,2010-01-01,2026-07-03,126,71,79,-4,64,3:55,11,90,58,149
19,Titanium (feat. Sia),David Guetta,5A,2011-08-24,2026-07-03,126,79,60,-4,30,4:05,7,77,22,7015
20,Shut Up and Dance,WALK THE MOON,3B,2014-12-02,2026-07-03,128,87,58,-4,62,3:19,1,89,23,53
21,A Sky Full of Stars,Coldplay,2B,2014-05-16,2026-07-03,125,68,55,-6,16,4:27,1,89,17,8834
22,You Belong With Me,Taylor Swift,2B,2008-11-11,2026-07-03,130,75,69,-4,44,3:52,18,81,2,5473
23,What Makes You Beautiful,One Direction,12B,2012-05-25,2026-07-03,125,79,73,-2,89,3:19,1,89,3,7475
24,Counting Stars,OneRepublic,12A,2013-01-01,2026-07-03,122,71,66,-5,47,4:17,7,91,24,1022
25,The Sweet Escape,Gwen Stefani,3B,2006-01-01,2026-07-03,120,77,76,-4,73,4:06,19,82,25,3746
26,Party In The U.S.A.,Miley Cyrus,2B,2009-01-01,2026-07-03,96,70,65,-5,47,3:22,0,81,26,8611
27,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,11B,2011-11-11,2026-07-03,90,80,65,-3,80,3:30,3,88,27,6328
28,Count on Me,Bruno Mars,8B,2010-05-11,2026-07-03,89,39,59,-6,50,3:17,85,83,28,7777
29,Stressed Out,Twenty One Pilots,8A,2015-05-15,2026-07-03,170,64,73,-6,65,3:22,5,90,29,2324
30,Somewhere Only We Know,Keane,11B,2004-01-01,2026-07-03,172,66,45,-4,37,3:56,8,81,30,6918
31,Die With A Smile,Lady Gaga,11B,2025-03-07,2026-07-03,158,60,52,-8,50,4:11,29,89,31,4817
32,"Kingdom Dance - From ""Tangled""/Score",Alan Menken,12B,2010-01-01,2026-07-03,156,61,24,-10,48,2:20,9,65,32,3757
33,Teenage Dirtbag,Wheatus,12B,2000,2026-07-03,95,85,62,-4,61,4:01,34,56,38,5805
34,Dancing Queen,ABBA,11B,1976,2026-07-03,101,87,54,-7,75,3:50,36,89,8,4014
35,Buy Dirt,Jordan Davis,12B,2021-05-21,2026-07-03,178,56,59,-7,44,2:47,64,81,39,8593
36,Diet Mountain Dew,Lana Del Rey,3A,2012-11-12,2026-07-03,88,70,60,-6,53,3:42,28,64,59,7343
37,Do I Wanna Know?,Arctic Monkeys,6A,2013-09-09,2026-07-03,85,53,55,-8,41,4:32,19,90,40,856
38,Beautiful Things,Benson Boone,6B,2024-04-05,2026-07-03,105,47,47,-6,22,3:00,15,90,41,6966
39,I Knew You Were Trouble.,Taylor Swift,2B,2012-10-22,2026-07-03,77,47,62,-7,68,3:39,0,81,35,9375
40,Mr. Brightside,The Killers,3B,2004,2026-07-03,148,91,35,-5,24,3:42,0,95,42,9585
41,Say It Ain't So,Weezer,5B,2004-05-10,2026-07-03,152,56,63,-6,48,4:18,1,65,4,6934
42,Ho Hey,The Lumineers,8B,2012-04-03,2026-07-03,80,47,69,-9,35,2:43,79,86,43,9746
43,Iris,The Goo Goo Dolls,10B,1998,2026-07-03,156,72,32,-8,50,4:49,0,95,44,797
44,Slipping Through My Fingers,ABBA,7B,1981,2026-07-03,137,26,48,-16,34,3:53,80,79,60,794
45,Still into You,Paramore,7B,2013-04-05,2026-07-03,136,92,60,-4,77,3:36,1,86,45,6385
46,Feel This Moment (feat. Christina Aguilera),Pitbull,10B,2012,2026-07-03,136,76,67,-4,54,3:49,4,85,46,963
47,Everybody Wants To Rule The World,Tears For Fears,10B,1985-02-25,2026-07-03,112,82,63,-11,50,4:11,34,85,47,728
48,Love Story,Taylor Swift,10B,2008-11-11,2026-07-03,119,74,62,-4,30,3:55,17,69,63,6790
49,Story of My Life,One Direction,5B,2013-11-25,2026-07-03,121,66,60,-6,29,4:05,23,87,36,5546
50,Close To You,Gracie Abrams,2B,2024-06-20,2026-07-03,122,72,59,-8,30,3:45,2,81,61,6421
51,Cool Kids,Echosmith,4B,2013-10-01,2026-07-03,130,79,69,-4,76,3:35,9,71,48,7490
52,Baby,Justin Bieber,5B,2010-01-01,2026-07-03,65,86,73,-5,54,3:34,4,92,49,3503
53,Island In The Sun,Weezer,9B,2001-05-15,2026-07-03,115,81,65,-6,66,3:20,1,87,37,2936
54,Adventure of a Lifetime,Coldplay,8A,2015-12-04,2026-07-03,112,92,64,-4,53,4:23,0,89,34,8836
55,Safe and Sound,Capital Cities,8B,2013-06-04,2026-07-03,118,82,66,-5,77,3:12,0,88,51,3234
56,Supercut,Lorde,8B,2017-06-16,2026-07-03,125,44,56,-10,15,4:37,22,80,9,4977
57,American Nights,Zach Bryan,2B,2024-07-04,2026-07-03,138,68,57,-6,36,3:38,3,77,52,6051
58,It's a Beautiful Day (Reprise),The Kiffness,8B,2022-12-16,2026-07-03,134,44,77,-9,69,2:42,75,59,53,7457
59,Viva La Vida,Coldplay,4B,2008-06-06,2026-07-03,138,62,49,-7,42,4:02,10,90,50,2035
60,Clocks,Coldplay,3A,2002-08-27,2026-07-03,131,75,58,-7,26,5:07,60,88,67,8039
61,18,One Direction,11B,2014-11-17,2026-07-03,124,58,68,-8,22,4:08,22,80,64,6425
62,"I've Got a Dream - From ""Tangled""/Soundtrack Version",Mandy Moore,12B,2010-01-01,2026-07-03,134,54,60,-7,89,3:11,64,64,65,6279
63,Ribs,Lorde,12B,2013-09-27,2026-07-03,128,47,53,-9,4,4:18,53,85,62,6738
64,Buddy Holly,Weezer,4B,1994-05-10,2026-07-03,121,92,56,-5,77,2:39,0,81,66,724
65,Every Breath You Take,The Police,4B,1983-06-17,2026-07-03,117,45,82,-10,74,4:13,54,94,54,7755
66,Ordinary,Alex Warren,10B,2024-09-26,2026-07-03,168,69,37,-6,39,3:06,70,91,55,2197
67,A Million Dreams,Ziv Zaifman,9B,2017-12-08,2026-07-03,55,31,27,-12,10,4:29,24,79,56,7739
68,"Mother Knows Best - From ""Tangled""/Soundtrack Version",Donna Murphy,7B,2010-01-01,2026-07-03,128,26,50,-11,49,3:10,83,62,57,1031